Title,Original,Generated
The Legend of the Lone Ranger,"The untold story of the man behind the mask, and the legend behind the man.",The story of a man who risked everything to save a nation.
Zero Days,World War 3.0,"It's not just a virus, it's a weapon."
Carrie,Know her name. Fear her power.,You can't escape your mother's evil.
Les Misérables: 10th Anniversary Concert at the Royal Albert Hall,The Musical that Swept the World,It's a magical time of the year for Broadway
Liebestraum,"A story of lust, murder and dreams.",He's back in town...
Despicable Me 3,Oh brother.,The story of one man's quest to save the world from the clutches of
Patton,The Rebel Warrior,The story of a man who fought the greatest war in history.
Alex of Venice,Her life is just getting started. Again.,"She's a lawyer, but she's also a mother."
Wuthering Heights,SINISTER SHADOWS & BURNING LOVE,"A comedy about love, friendship, and the power of friendship."
Bang Bang Baby,"Once upon a time, there was a girl...",There's no such thing as a dream without a plan.
The Phantom Tollbooth,It's an Alphabeautiful Mathemagical New Musical Movie!,"A tale of love, adventure and adventure"
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,"If You Don't See This Documentary, We'll Shoot This Dog",The greatest comedy magazine of all time.
Class of 1984,Class of 1984. Is this the future?,"It's not about the money, it's about who you trust."
Wings,"Youth, hitting the clouds! Laughing at danger! Fighting, loving, dodging death! That's",The story of two men.
Avalanche,Six million tons of icy terror!,It's not just a vacation...
Killshot,He never met a target he couldn't take. Until today.,It's not just a crime...
An Education,An education isn't always by the book.,The story of the girl who changed everything.
"Go West, Young Lady",Rip-Roarin' Rhythm,It's not just a town...
Time Changer,What if you could see the future impact of your beliefs? One man will.,What if you could change the past and present in a matter of minutes?
The Alphabet Killer,Based on a true story.,Sometimes the only way out is through the law.
The Thin Red Line,Every man fights his own war.,"It's not war, it's war."
Faith of Our Fathers,A story of fatherhood. A journey of brotherhood.,The story of two men who risked everything to save their son.
Cenizas del Paraiso,"Three siblings, one woman, one destiny",There is no such thing as a good judge.
Dancin' It's On,Dancin' Like You've Never Seen Before,It's not just a dance.
Area 407,The plane crash was just the beginning,The only way out is to die.
Money Talks,This ain't no buddy movie.,A comedy about a guy who's got a lot on his mind.
The World of Kanako,Say goodbye to reason.,"She was a detective, and he was the one who found her."
The Daughter,It Takes An Outsider To See The Truth Inside.,"A story of love, loss and hope."
High Noon,The story of a man who was too proud to run.,The story of one man's quest to save the world from a madman.
One Day in September,"1972. The Munich Olympic Games. 121 Nations. 7,123 Competitors. Over a billion vieweres ... and 8 Palestinian Terrorists. For the first time in 25 years, the truth is revealed.",It was the greatest sporting event of all time.
Maudie,Triumph epitomizes adversity,A love story that will change your life forever.
"Two Days, One Night",A quest for self-improvement,It's the weekend before the holidays.
The Gray Man,Obsessive manhunt to identify and capture a despicable serial killer,The story of a man who turned his back on the family he loved.
The Cottage,Sleeps Six Bloody Comfortably,It's not what you think it is...
The L-Shaped Room,Sex is not a forbidden word.,"A comedy about love, friendship, sex and death."
Chilly Scenes of Winter,A romantic comedy for all seasons.,He's a man.
Junior Bonner,"Steve McQueen going down his own road, tougher than ever, as ""Junior Bonner""",The story of a man who rode his way to the top.
The FBI Story,"You are crouched in a basement stairway opposite a theatre in Chicago. Keep your eyes on that FBI man across the street. He has set the trap for deadly public enemy, John Dillinger...",The FBI is back in action again!
Oliver Twist,A Compelling New Version of the Great Victorian Classic,It's a story about a boy and a girl who escape from the world of
Tap Roots,When she lost her lover...her sister gained one!,The story of a woman who fought for her country...and won.
Smokey and the Bandit Part 3,Smokey's Back! And The Bandit is at it again!,It's not a game...
Funny People,"George Simmons was prepared to die, but then a funny thing happened.",He's the funniest guy in the world.
Men in Black,Protecting the Earth from the scum of the universe.,The world is about to get a little hairy.
Valley Girl,She's cool. He's hot. She's from the Valley. He's not.,"A comedy about love, friendship, and the power of friendship."
The Girl Can't Help It,"BABY, IT'S THE GREATEST!","She's got a talent, but she's not a star."
Puccini for Beginners,A love triangle of operatic proportions.,A love story that will change your life forever.
Scatter My Ashes at Bergdorf's,"If fashion had a home, this would be the address.",The story of one of America's most iconic brands.
Phantom Lady,IT'S UNIQUE...suspense...mystery...drama!,She was the only one who knew the truth...
Catfight,A black and blue comedy,"A comedy about friendship, love, and the power of friendship."
Happy Endings,All's well that ends swell.,"The story of a mother, a son, and a man."
Hombre,Hombre means man... Paul Newman is Hombre!,He's the only man on earth who can save the world.
Rolf,My price is death.,The last mercenary...
Dhoom,One brave cop... one smart thief... one cool biker... together they create...  Dhoom,The story of one man's quest to save the world from a world of crime
Hostile Intentions,A night of adventure becomes one woman's desperate fight for survival.,It's not just a weekend...
Deep Cover,There's a thin line between catching a criminal... and becoming one.,"He's a cop, he's an assassin, and he'll do anything to"
Guardian,Fear for your life... Fight for your soul.,It's not what you think it is.
Carol,Some people change your life forever.,The story of one man's love for a woman he never met.
The Barber of Siberia,He's Russian. That explains a lot.,The story of one man's love for the world's most beautiful woman.
Private School,You won't believe what goes on and what comes off in... Private School,"A comedy about sex, love, and the power of sex."
Wolf Girl,Beauty is only skin deep.,"She's got the hair, the heart, and the soul."
Elf: Buddy's Musical Christmas,Narrated by Santa Claus,Christmas is coming to town.
The Man Who Could Cheat Death,HIS HIDEOUS OBSESSION LED HIM TO COMMIT GHASTLY CRIMES OF PASSION AND VIOLENCE.,It's not going to be easy...
Ajnabee,Never trust a stranger.,"It's not murder, it's murder."
The Awakening,They thought they had buried her forever!,The legend of the Sphinx is alive and well in Egypt!
The Swimmer,"When you talk about ""The Swimmer"" will you talk about yourself?","The story of a man who became a swimmer, a woman who lost her"
Adrift,Marriage and temptation,"A romantic comedy about love, sex, romance, love and sex."
"Sasquatch, the Legend of Bigfoot",The incredible story of seven men who defied death in a primitive wilderness where no man had gone before.... and survived to tell the shocking story of this legendary creature.,The most terrifying thing you'll ever see in your lifetime is the one you never
They Call Me Macho Woman,"Born to shop, she learned to kill!",You can't kill a drug lord.
Thirteen Conversations About One Thing,Ask yourself if you're really happy.,"A comedy about life, death, love, hope and hope."
Get Carter,The Truth Hurts,The story of a man who risked everything to save his family.
Cut-Throats Nine,Violence Is Their Way of Life,It's not just a story about a group of prisoners.
Nightmare,The Dream You Can't Escape ALIVE!,It's not just a nightmare...
Being Ginger,Documentary,"He's got it all, but he doesn't know it yet."
Buffalo Bill,His adventure made him a hero.His showmanship made him a legend.,The story of a man who risked everything to become a hero.
Freaks of Nature,Get out undead or alive.,Welcome to the apocalypse.
Tupac: Resurrection,In his own words,The story of a man who changed the face of music forever.
Ninja Scroll,"Feudal Japan - A Time of Danger, Intrigue and Deception...",He's a ninja.
The Adjuster,Some people work in mysterious ways.,"A comedy about love, sex, and love at the same time."
The Haunting of Whaley House,"Just because you don't believe in ghosts, doesn't mean they don't believe in you!",There's more than one way to die.
Rampage: President Down,This Bill will not be vetoed,He's back...
Three,Imagine the possibilities.,"It's not what you think it is, it's how you feel."
Alley Cats Strike,The Only Way To Settle The Score Is To Take It To The Alley!,It's not just a game...
House Party 4: Down to the Last Minute,Time to Raise the Roof!,A comedy about a man who can't get out of bed.
Thirst,Lusting after sinful pleasures.,Blood is thicker than blood
Ten Tall Men,LUSTY! GUSTY! RARING TO GO!,The battle for the hearts and minds of men is about to begin.
Sherlock Holmes: A Game of Shadows,The game is afoot.,He's got the power to change the world.
ChromeSkull: Laid to Rest 2,Evil Is Only Skin Deep,Hell hath no fury like a man who has never tasted death.
Origin: Spirits of the Past,"Together, we can face the future...",The future is about to be destroyed.
House of Usher,Many Arrive. Few Survive.,"It's not just a house, it's a legend."
Dr. Alien,She has the cure for growing pain . . .,It's not just a science experiment.
Tarzan Finds a Son!,Super Story of a Super Man ! The Titan of all Tarzans . . . Giant of all jungle thrills . . . worth the years it took to make !,The adventure of a lifetime.
Home of the Brave,Viola Liuzzo left Michigan to march for freedom... and met her destiny on a dark Alabama highway.,The story of a woman who fought for the right to vote.
Black Rain,Their country. Their laws. Their game. His rules.,It's a game of cat and mouse
An American Rhapsody,"One family struggles for survival, for justice, for freedom.",The story of a family who risked everything to come to America.
The Mindscape of Alan Moore,A Psychedelic Journey Into One of The World's Most Powerful Minds.,A story about a man who made a name for himself as a comic book artist
"Rock, Paper, Scissors",You can't deny and you know!,It's not a game.
Biker Boyz,Survival of the fastest.,"It's not just a story, it's a legend."
No Highway in the Sky,"EXCITEMENT and SUSPENSE 18,000 Feet Over the Atlantic!",It's not what you think it is...
Adam's Rib,Funniest Picture in 10 Years!,Sometimes the only way out is to get out of jail.
My Best Friend,It takes a lifetime to learn the meaning of friendship... François has 10 days.,"A comedy about love, friendship, and the road to success."
The Ballad of Ramblin' Jack,After Woody Guthrie and before Bob Dylan came Ramblin' Jack Elliott.,She was born to be a cowboy.
Mommy,"- ""We still love each other, right?"" - ""That's we're best at, buddy.""",It's not what you think it is.
Legend of the Lost,Wayne Tangles with Loren...In the Adventure that's Hotter than 1000 Suns!,The adventure of a lifetime.
Second Honeymoon,Love is better the second time around.,"A comedy about love, sex, drugs, guns and guns."
Coffy,The Baddest One-Chick Hit-Squad that ever hit town!,Vengeance is the only weapon that can stop a man from killing.
Attack Force Z,Mel Gibson blasting his way to hell and back,The true story of one of the greatest battles of our time.
Merry Ex-Mas,"This holiday, they're fighting for love.",She's got to get out of here.
The Wolfman,When the moon is full the legend comes to life,"It's not just a story about love, it's about life."
FAQs,From the director of Natual History of Parking Lots and Luster,"A comedy about love, sex, drugs, and the streets."
The Amityville Asylum,Kill them. Kill them all.,It's not what you think it is.
Innocent Bystanders,In this business there are no Innocent Bystanders,"The world's most wanted man is back in action!"" -- Variety"
Adam Green's Aladdin,Are you interested in music?,The story of a man and a woman who have never met.
Butcher Boys,You are what you eat,It's not just a movie.
Portrait in Black,They touched...and an evil spark was struck!,It's not what you think...
Battleship Potemkin,"Revolution is the only lawful, equal, effectual war. It was in Russia that this war was declared and begu",The true story of the Russian Naval Mutiny
Sully,The Untold Story Behind the Miracle on the Hudson.,The story of a man who risked everything to save his country.
Barry Lyndon,At long last Redmond Barry became a gentleman - and that was his tragedy.,"The story of a man who fought for his country, his family, and his"
Best Worst Movie,The Story Behind The Worst Movie Ever Made - Troll 2,The funniest movie ever made
Midnight Lace,Even with the arms of her love around her...she still felt the menace of that voice in the night!,It's not just a murder story.
Antitrust,Truth can be dangerous...Trust can be deadly.,IT'S YOUR NIGHTMARES...and it's up to you to stop
Annapolis,"50,000 Apply. 1,200 Are Accepted. Only The Best Survive",A comedy about a man who can't stand the thought of losing.
Jewel Robbery,He stole her jewels -- but that wasn't all!,"He's a thief, but he's also a womanizer."
The Bad Man,His Great New 1941 Thrill Drama!,She's back in town.
Chinese Zodiac,"His mission is to recover their heads, before they take his",The true story of one of China's greatest heroes.
The Architect,A couple hire a maverick architect,It's not just a house...
Beneath Hill 60,BENEATH HILL 60 featuring Captain Woodward MC commanding the Australian Hill 60 Tunnelers of World War 1,"It's not just a war, it's a story."
Legendary Assassin,Every Move Kills,The only way to save the world is to kill the killer.
Nine 1/2 Weeks,They Broke Every Rule,"It's not what you think it is, it's how you feel."
Manderlay,Liberation. Whether They Want It Or Not.,The story of a woman who fought for the right to be free.
Battle Hymn,"The true story of Col. Dean Hess, clergyman turned fighter pilot!","It's a story about love, courage, and the power of God."
The H-Man,ALL H- BREAKS LOOSE!,The story of a man who made the ultimate sacrifice to save the world.
The Comic,A funny new motion picture that tells Hollywood like it was!,"A comedy about life, death, love, comedy, tragedy"
Wish You Were Here,Some people march to the beat of a different drummer. Lynda’s got her own brass band.,The story of a girl who became a woman in the middle of nowhere.
Forever Fever,A romantic comedy with twists and turns.,"A comedy about love, sex and drugs."
Davy Crockett and the River Pirates,THRILLING ADVENTURES...frontier giants join forces to challenge the might of the River Raiders.,The story of a man who risked everything to save his family.
Bandolero!,"There are ""Westerns"" and ""Westerns"". Every now and then comes a NEW kind of Western. This is ""BANDOLERO!"".",They're back...
Twice-Told Tales,A trio of terror!,The story of a man who tried to save the world from evil.
Rurouni Kenshin,The Journey Begins,The story of a man who fought to save the world from evil.
Woman on Top,Want to know how she got there?,She's a woman on top.
Vatel,Some men are too noble to live among aristocracy.,Three days in the life of a prince.
How To Change The World,The Revolution Will Not Be Organized,A documentary that changed the way we thought about the environment.
A Hard Day's Night,"The Beatles, starring in their first full-length, hilarious, action-packed film!",A hard day's night.
The Giant King,We were born to be friends.,It's not just a robot...
Dark Was the Night,Evil's Roots Run Deep,Evil is coming to town.
Strange Brew,Something funny is brewing at Elsinore Castle...,The story of a man who risked everything to save his family.
Thor: Tales of Asgard,Before the hammer ... came the sword,The Mighty Thor is back
Enemy Mine,Enemies because they were taught to be. Survivors because they had to be.,It's not just a war.
A Perfect Candidate,"In the Voting Booth, No One Can Hear You Scream",A story about a man who won't let the truth get in the way of
The Four Feathers,"Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves.",A story of a man who risked everything to save his country.
The Lady in the Van,A mostly true story,She lived in the shadow of her past.
Halloween: Resurrection,Evil finds its way home,You can't escape your past.
The Shootist,He's got to face a gunfight once more to live up to his legend once more. To win just one more time.,The last man on the planet.
Population Zero,The only thing more shocking than the crime itself are the bizarre events that followed.,The story of a man who risked his life for the truth.
The Maze Runner,Run - Remember - Survive,The only way out is through the maze.
Johnny English Reborn,One man. One mission. No chance.,No one is above the law.
Breakfast on Pluto,Same world. Different planet.,He was born a boy.
Tough Enough,They are big! They are bad! But are they tough enough to beat the Country Western Warrior?,The story of a man who won't let his money get in the way of
Summer School,The movie your parents will hate.,"She's the hottest girl in school, but she's got a secret."
Hot Tub Time Machine,Kick some past,You can't change the past.
TekWar,Virtual Reality Can Be Murder,He's back.
House Arrest,There's More Than One Way To Keep A Marriage Together...,You can't divorce your parents.
The Desert Rats,They crawled their way across the blazing sands of Africa... to turn disaster into victory!,The battle for the heart and soul of the world's most powerful nation.
Golden Gate,"Some loves are meant to be. This one, not so much.",The story of a man who risked everything to protect his country.
The Campaign,May The Best Loser Win.,The battle for the soul of the American people begins in Washington.
The Anniversary,The legendary actress as the most merciless mother of them all,Every family has a secret.
Rage,The past never stays dead,"Revenge is the only way out of this world."" -- The New York Times"
Miss Conception,She's seeking Mr. Right now,The story of a mother and a baby.
The Mysterious Lady,GRETA GARBO AND CONRAD NAGEL The Screen's Newest Discovery of Perfect Young Lovers,The true story of one of the greatest spies of all time.
CHiPS,Chip Happens,They're the toughest guys in the world.
A Good Year,Everything matures... eventually.,The story of a man who lost everything...
The Ouija Experiment 2: Theatre of Death,Hell will be unleashed,It's not what you think it is.
Animal Crackers,The maddest comics of them all!,He's back...
Wedding Day,Not every wedding ends in a bouquet toss...,"It's not a wedding, it's a murder."
The Devil Thumbs a Ride,He'll kill until he dies!,He's not afraid of death...
Jimmy's Hall,Where Anything Goes and Everyone Belongs.,The story of a man who risked everything to fight for freedom.
Get Over It,"Young, Free And Single. Again.","A comedy about love, friendship, and the fall of love."
Private Romeo,Love goes toward love as schoolboys from their books,The story of a boy's struggle to survive in the world of war.
The Glass Key,The Tougher They Are - The Harder They Fall,The story of a man who risked everything to win the election.
The Incident,Small Town,The story of a man who risked everything to save his country.
12 Rounds 3: Lockdown,Twelve Rounds In the Clip. One Shot at Redemption.,It's a cop's job to catch the bad guys.
Earthfall,The World will Never be the same.,The only thing more dangerous than nuclear war is a planet that doesn't exist.
Waxwork,Stop on by and give afterlife a try.,"It's not what you think it is, it's how you feel."
Children of the Corn: Revelation,"The All-New, Terror-Filled Chapter!",She's the only one who can save her.
Naked Souls,She's about to bare her soul... and all that goes with it.,The story of a man who is searching for a way out.
The Reunion,Last Chance. Long Odds.,A comedy about family.
Collaborator,Can't we all just get along?,The story of a man whose life is turned upside down when he meets a woman
DragonHeart,You will believe.,"The battle for the soul of the dragon is on."" -- The New York Times"
AWOL-72,72 Hours On The Clock. Starting Now...,The most dangerous man on the planet is back!
Nature Unleashed: Volcano,Violence Beyond Escape,"It's not what you think it is, it's who you are."
Dum Laga Ke Haisha,A marriage is arranged between a slim guy and an over-weight girl.,"A comedy about love, marriage and life."
Barbie: Fairytopia,Discover A Magical New Land,A fairy tale of love and adventure!
When a Man Loves a Woman,Through the good times. Through the bad times. When a Man Loves a Woman it's for all times.,"It's not what you think it is, it's how you feel."
Hot Pursuit,Armed and Sort-of Dangerous.,He's a cop.
12 Days of Christmas Eve,He's got twelve chances to get Christmas right.,12 Days.
Salute,The story behind the image,"It was a moment that changed the face of the world."" - Wikipedia"
Generation Iron 2,Is there a limit?,5 Bodybuilders.
The Private Life of Henry VIII,"HE GAVE HIS WIVES A PAIN IN THE NECK And did his necking with an axe. Henry, the Eighth Wonder of the World! And this picture...the wonder of all time!",The story of one man's struggle to become the greatest monarch of all time.
Banksy Does New York,The street is at play.,The world’s most notorious street artists are back in town.
Erasing David,He has nothing to hide but does he have nothing to fear?,You can't hide your identity.
Poodle Springs,Sex. Murder. Marlowe. This town has everything.,The story of a man who risked everything to find the truth.
Severe Clear,Uncertainty...Chaos...Disorder. This is war.,The story of a man who risked everything to save his country.
Genius,"To fit in, genius Charlie Boyle added another side to himself","He's a genius, but he's also a killer."
The Haunting,You may not believe in ghosts but you cannot deny terror,There is no such thing as a dead body.
The Doctor and the Devils,It's murder shopping for Dr. Rock,It's not just a crime...
3:10 to Yuma,Time waits for one man.,The story of a man who risked everything to save his family.
Ready to Rumble,They're headed to the big time...face first.,"It's not about the money, it's about who wins."
From the Terrace,You can't buy respectability by putting a wedding ring on it!,The story of a man who made a choice that changed his life forever.
Let's Make Love,MARILYN MONROE and YVES MONTAND the French entertainment sensation! Doing what they do best in LET'S MAKE LOVE!,The funniest comedy of all time!
The Adventures of Ford Fairlane,Kojak. Columbo. Dirty Harry. Wimps.,The story of a man who became a rock star...
Bend It Like Beckham,"Sometimes, to follow your dreams... you've got to bend the rules!",It's a game of life and death.
Restless,Who do you live for?,The story of a young man who was raised to believe in love.
H6: Diary of a Serial Killer,"Come in, don't be afraid...",He's not just a killer...
The Boogens,Some Things Shouldn't Be Disturbed...,Evil lurks beneath the earth!
The Belly of an Architect,Art is the food for madness.,He's the architect of the world's most beautiful buildings.
The Mine,A story worth a half billion euros.,The story of one man's struggle to make the world a better place.
Revenge of the Pink Panther,Just when you thought it was safe to go back to the movies...,"He's dead, but he's not dead yet."
The Grapes of Death,"When the wine flows, the terror begins…",It's not what you think it is.
The Devil Is a Woman,Kiss me .. and I'll break your heart!,"A comedy about love, lust, and betrayal."
And Now a Word from Our Sponsor,It's all a matter of perspective.,What if you could communicate with the world through your own words?
The Human Condition II: Road to Eternity,First Sequel of an Anti-War Masterpiece,The true story of a man who fought for freedom and justice.
Spencer's Mountain,"Clayboy's schoolteacher impresses upon Clayboy the following phrase, ""The world steps aside to let a man pass, if he knows where he is going""",He's a tough guy.
The Bastard,Brother or enemy - no mercy was given!,The story of a man who risked everything to save his brother.
Spotlight,Break the story. Break the silence.,A story that changed the face of the Church forever.
Squeeze,Only the strong survive these streets.,It's not going to be easy.
The Walking Dead,HE DIED a man with a hunger to love... and returned a monster with an instinct to kill.,He's not dead.
Pride & Prejudice,A romance ahead of its time.,"A comedy about love, marriage, and the future."
Hairspray,The world was in a mess... but their hair was perfect!!,It's a race to the bottom.
Tooken,Your franchise is about to be taken.,It's not what you think it is...
Fast Five,Get the Fifth Gear.,It's not just a cop's job.
Hellions,"This Halloween, Hell Comes Knocking","It's not what you think it is."" -- The New York Times"
November,"Shut down the theaters, the performance has hit the streets!","It's not a movie, it's a performance."
Nightmare City,The Nightmare Becomes Reality,The most terrifying movie you'll ever see!
For Love or Money,He thought there was nothing as seductive as money. He was wrong.,The story of a man who couldn't be more different from anyone else.
The Institute,Is it a cult? Is it a game? Or is it a life-changing adventure...,It's not what you think it is.
Knight and Day,Every Hit Man Deserves a Second Shot!,The story of a man who risked everything to save his family.
Confessions of a Dangerous Mind,Some things are better left top secret.,The story of a man who changed the face of television forever.
The Fighter,Every dream deserves a fighting chance.,He was a fighter.
Growing Up and Other Lies,One big island. One absurdly long walk.,It's about to get a whole lot more exciting.
Northwest Passage,Half Men - Half Demons . . . Warriors Such As The World Has Never Known . . . They Lived With Death and Danger For The Women Who Hungered For Their Love !,They fought for the right to fight.
End of the Game,"""I could murder her in front of your eyes and you couldn't prove it,"" said the master criminal to the master detective. And so the game began...",The story of one man's pursuit of the most powerful man on earth.
Albino Farm,The legend is real...,It's not what you think it is...it's how you feel.
Supremacy,No One Is Save,He's a killer.
Dreamland,They Know Who You Are...,The story of a man who changed the face of the world.
Just Married,Welcome to the honeymoon from hell.,"A romantic comedy about love, marriage, honey, love...and a couple of"
Russian Ark,"2000 cast members, 3 orchestras, 33 rooms, 300 years, ALL IN ONE TAKE",The most beautiful woman in the world.
Thunder Soul,He gave them everything. Now it's time to give back.,The legend is real.
Melvin and Howard,"Poor Melvin. All he wanted was to be Milkman of the Month. Instead, he lost his job, his truck, and his wife. Then Howard Hughes left him $156,000,000.",A story about a man who won't give up.
Massacre Canyon,THUNDERING Out Of The Reservation! THE LAST ATTACK OF THE APACHE NATION!,It's not just a game...
Martyrs,They did not finish to be alive...,Revenge is the only way out.
Mr. & Mrs. Smith,Lombard and Montgomery Get Hitched As They're Getting Unhitched !,"It's not what you think it is, it's how you feel."
Pawn Sacrifice,On the board he fought the Cold War. In his mind he fought his madness.,The greatest chess match of all time
To Write Love on Her Arms,Based on the True Story that started a Global Movement.,"A story of love, loss and hope."
From Bedrooms to Billions,A Scientific Curiosity That Sparked a Revolution,The story behind the rise and fall of video game industry
Restitution,Revenge Has No Limits,The story of a town that changed forever.
Manos: The Hands of Fate,It's Shocking! It's Beyond Your Imagination!,It's not what you think it is...
Brain Dead,You have nothing to lose... except your mind.,It's not just a movie.
Rooster Cogburn,"The man of ""True Grit"" is back and look who's got him!",The story of a man who risked everything to save his country.
Copper Canyon,The story of the Old West's valley of violence!,The story of a man who risked everything to win the love of his life.
"Hey, Boo: Harper Lee & To Kill a Mockingbird",The untold story behind a great American novel,The story of a woman who wrote a book that shocked the world.
Atragon,Ride the JUGGERNAUT of destruction from the depths of the Seven Seas to the Outer Limits of Space!,"It's not just a ship, it's a war machine."
Venom,He never hurt a soul until the day he died.,It's not just a horror movie.
"Davy Crockett, King of the Wild Frontier",NOW...on the MOTION PICTURE SCREEN!,The story of a man who risked everything to become a legend.
Up in Smoke,The movie that'll have you rolling in the aisles.,"A comedy about love, drugs, and rock 'n roll"
11/11/11,This day will be our last,It's not just a birthday party...
Where Sleeping Dogs Lie,A writer searching for the dead is about to uncover the killer.,"It's not what you think, it's how you feel."
The Miracle of Morgan’s Creek,"The True Story of TRUDY KOCKENLOCKER, who kissed the Boys Goodbye... REGIMENT BY REGIMENT!",She's a girl.
White Tiger,Revenge Has No Limits,The story of a man who risked everything to save his family.
The War Game,BBC TV's film about a nuclear attack on Britain directed by Peter Watkins.,"It's a war game, not a documentary."
McLintock!,Never such a tender love story! Never such a savage showdown! Never such restless natives!,The story of a man who risked everything to win the heart of the people of
P.S. I Love You,"His life ended. Now, a new one will begin.","Love is the most important thing in the world."" -- The New York Times"
A Hill in Korea,And They Blended That Courage and Their Cowardice to Fight an Enemy for 72 Nightmare Hours!,They fought for freedom.
Them,They're already inside,It's not what you think it is...
Ninja 1,The Film that made Ninjas legendary!,"The true story of the greatest ninja of all time, the legendary Fist of Death"
Cat People,They are something more than lovers who are about to become something less than human.,It's not what you think it is.
Avenger,No peace without justice...,The story of a man who risked everything to save his daughter.
Night Game,Sometimes the only thing more dangerous than hunting down a murderer is... finding him!,It's not just a game...
School for Scoundrels,Life's A Game. Learn How To Play.,"It's not what you think it is, it's how you feel."
Firefox,...the most devastating killing machine ever built... his job... steal it!,"It's not a plane, it's a spy plane."
Park Row,Street of rogues... reporters... and romance!,The story of a man who dared to break the law and expose the corruption of
Bianca Beauchamp: All Access,The most fun you can get at a fetish event without actually having to dress up!,The world's most fetish-obsessed people are back in the spotlight.
Ek Thi Daayan,Everything comes full circle.,The story of a magician who finds himself trapped in a mental asylum.
The Thief of Bagdad,GIGANTIC! The Wonder Picture of All Time!,The story of one man's quest to reclaim his rightful throne.
Undefeatable,"Out of the ring, into the fire... in a fight to the finish",It's not just a movie about money...
The Caine Mutiny,As big as the ocean!,He's the only one who can stop the madness.
Neo Tokyo,Manie-Manie,"It's not just a movie, it’s a reality."
How to Rob a Bank,...and 10 easy tips to get away with it.,The story of two brothers.
Bill,London is not going to know what hit it!,The story of one man's journey into the world of Shakespeare.
Stage Beauty,She was the first of her kind. He was the last of his.,The story of a woman who made a career out of playing men.
The Pickle,He's caught in a pickle and everyone is watching!,"A comedy about love, sex, money, love and the big screen."
A Girl in Every Port,"You'll Like This One!---It's a rollicking, jolly, happy picture---a laugh all the way.",The story of two men.
Four Horsemen,We Will Never Return to Business as Usual,"The End of the World Is Coming."" – The New York Times"
White Lion,Home is a Journey,The story of a lion who will save the world from the evil of darkness.
The Double Man,The key man to the most daring plot ever concocted by the secret agents of two worlds!,The Cold War is over.
Titanic,Nothing on Earth could come between them.,"The true story of the Titanic's maiden voyage, from the moment it sank,"
Detour,He went searching for love... but Fate forced a DETOUR to Revelry... Violence... Mystery!,The story of a man who made a mistake...
The Happy Ending,Marriage is a 30 billion dollar business! And that's just to get married.,"A story of love, loss and redemption."
Brothers in Arms,A revisionist western,The story of a man and a woman who fought for the right to be free
Ira & Abby,"First comes love, then comes marriage, then comes therapy.",You can't have it both ways.
Kiss and Make-Up,...a racy romance of a famous beauty doctor.,He made her beautiful.
Strange Wilderness,This ain't March of the Penguins.,There's no such thing as a Bigfoot without a tail.
Wilson,"DRAMA AND SPECTACLE UNPARALLELED! ENTERTAINMENT UNDREAMED OF! 12,000 PLAYERS! 200 MIGHTY SCENES! TOLD TO THE TUNE OF 87 BELOVED SONGS!",A political biography of a man who changed the course of history.
Fittest On Earth: A Decade Of Fitness,Fittest On Earth: A Decade Of Fitness,It's the toughest competition of your life.
Antz,Every ant has his day.,It's not just a movie.
Bulletproof Monk,A power beyond measure requires a protector without equal.,The Ultimate is a Kung Fu Master's Journey to the Perfect
Brainstorm,...The Ultimate Experience,"It's not what you think, it's what we think."
Just Peck,In suburbia no one can hear you scream.,"It's not what you think it is, it's how you feel."
Neerja,Fear Gave Her Courage,The story of a woman who risked everything to save her passengers.
The Stupids,As American as apple pie and twice as smart.,It's not what you think it is.
Las Plantas,Do you think plants could have souls?  That we might even be able to talk to  them?,"A story of love, sex and dreams."
The Puppet Syndrome,The story of an all-consuming passion between a creator and his creation.,"The story of a man who created a woman from nothing, and a boy who"
Hope,We won't let her shed tears again,It's not what you think it is.
Extraterrestrial,They do not come in peace.,It's not just a movie.
Sea of Love,Deception is dangerous. Desire is deadly.,He's a detective.
Feast III: The Happy Finish,They're Not Leaving Till They Get Dessert,It's not just a fight...
Hollywood Without Make-Up,A collection of behind the scenes and home movies from the golden age of Hollywood.,The man who made movies of people who make films of movies.
Proteus,"In the middle of the ocean, a new form of horror is taking shape.",They don't know what they're in for.
"Master, a Building in Copacabana",A film about people like you and me,The story of one man's struggle to find his way home.
PressPausePlay,"A Film about hope, fear and digital culture",A documentary about the rise and fall of digital culture
Crazy,Everyone wanted him. No one could control him.,He was a legend.
Spy Hard,All the action. All the women. Half the intelligence.,It's not just a game...
Rock 'n' Roll High School,Will your school be NEXT?,It's about to get a whole lot harder than you think.
Pelé: Birth of a Legend,A boy with nothing who changed everything.,He was the greatest player in the history of the world.
Gremlins 2: The New Batch,Here they grow again.,They're coming for you.
B.F.'s Daughter,From the Best-Selling Book !,The story of a man and a woman who met and fell in love.
Amityville: The Awakening,Every house has a history. This one has a legend.,"It's not just a house, it's a hell of a place."
Wyoming Renegades,No man's life or wife or land is safe - till the women of Broken Bow line up with their men and start shooting!,He's back...
The Red Badge of Courage,Stephen Crane's Great American Story of the Civil War,The story of a man who risked everything to save his country.
The Razor's Edge,The story of one man's search for himself.,The story of a man who risked everything to save it all.
